timestamp,open,high,low,close,volume
2026-05-24 18:00:00,29676.25,29786.0,29676.25,29774.0,8640
2026-05-24 18:30:00,29775.5,29825.5,29774.5,29808.5,3904
2026-05-24 19:00:00,29807.5,29831.75,29805.25,29811.75,2917
2026-05-24 19:30:00,29812.0,29883.0,29812.0,29842.5,4780
2026-05-24 20:00:00,29842.25,29892.0,29826.25,29884.5,3960
2026-05-24 20:30:00,29884.5,29935.75,29883.75,29914.75,5161
2026-05-24 21:00:00,29915.25,29929.75,29906.0,29927.0,3044
2026-05-24 21:30:00,29927.25,29949.0,29921.0,29924.75,2631
2026-05-24 22:00:00,29925.75,29935.0,29905.0,29914.5,2233
2026-05-24 22:30:00,29915.0,29960.75,29903.0,29957.0,2953
2026-05-24 23:00:00,29958.0,29988.0,29955.5,29965.5,5149
2026-05-24 23:30:00,29966.75,29975.0,29957.0,29962.5,1628
2026-05-25 00:00:00,29962.25,29977.0,29962.0,29969.5,1118
2026-05-25 00:30:00,29968.5,29987.5,29961.0,29974.5,1393
2026-05-25 01:00:00,29974.0,29995.0,29973.0,29983.0,1824
2026-05-25 01:30:00,29983.0,29993.75,29968.25,29969.25,1391
2026-05-25 02:00:00,29968.25,29981.0,29950.0,29967.75,2277
2026-05-25 02:30:00,29968.25,29985.0,29960.0,29967.5,1894
2026-05-25 03:00:00,29968.25,29973.0,29889.5,29930.0,5117
2026-05-25 03:30:00,29931.0,29987.75,29927.0,29972.25,3652
2026-05-25 04:00:00,29971.75,29974.5,29927.0,29933.25,2395
2026-05-25 04:30:00,29935.5,29964.25,29927.5,29962.75,1170
2026-05-25 05:00:00,29963.25,29976.75,29957.25,29962.75,1076
2026-05-25 05:30:00,29962.25,29972.25,29954.25,29956.25,961
2026-05-25 06:00:00,29955.75,29971.0,29947.0,29962.5,1096
2026-05-25 06:30:00,29962.0,29974.75,29957.5,29973.0,759
2026-05-25 07:00:00,29971.75,29983.5,29965.5,29977.5,974
2026-05-25 07:30:00,29976.5,29989.25,29970.0,29972.25,1647
2026-05-25 08:00:00,29972.25,29990.0,29960.0,29965.5,2387
2026-05-25 08:30:00,29965.0,29968.0,29936.75,29941.5,2794
2026-05-25 09:00:00,29941.25,29955.5,29937.75,29940.5,1911
2026-05-25 09:30:00,29940.5,29993.75,29939.75,29993.5,7497
2026-05-25 10:00:00,29992.75,29993.75,29940.0,29942.25,7061
2026-05-25 10:30:00,29943.0,29945.5,29910.0,29929.0,6917
2026-05-25 11:00:00,29928.75,29990.75,29925.0,29934.25,10727
2026-05-25 11:30:00,29933.75,29941.0,29915.5,29922.5,3991
2026-05-25 12:00:00,29923.0,29936.25,29913.0,29924.0,2760
2026-05-25 12:30:00,29923.75,29966.75,29920.0,29962.5,3371
2026-05-25 18:00:00,29962.0,29977.0,29910.25,29939.5,5116
2026-05-25 18:30:00,29936.5,29936.5,29881.25,29891.0,4432
2026-05-25 19:00:00,29889.0,29901.0,29834.25,29840.75,4209
2026-05-25 19:30:00,29840.0,29898.75,29836.5,29879.25,3502
2026-05-25 20:00:00,29879.5,29880.5,29800.5,29844.0,6615
2026-05-25 20:30:00,29843.0,29856.25,29808.0,29821.5,3402
2026-05-25 21:00:00,29820.75,29836.0,29794.0,29802.0,4168
2026-05-25 21:30:00,29802.5,29817.25,29770.25,29811.75,4948
2026-05-25 22:00:00,29814.5,29829.0,29797.0,29813.75,2201
2026-05-25 22:30:00,29814.25,29825.5,29801.25,29817.75,1732
2026-05-25 23:00:00,29818.25,29826.25,29802.25,29825.25,1792
