timestamp,open,high,low,close
2026-06-10 09:30:00,7350.54,7382.39,7328.42,7370.49
2026-06-10 10:00:00,7370.84,7396.56,7363.6,7385.89
2026-06-10 10:30:00,7385.44,7391.9,7334.76,7341.49
2026-06-10 11:00:00,7341.55,7355.99,7307.65,7327.68
2026-06-10 11:30:00,7327.11,7339.16,7297.79,7331.41
2026-06-10 12:00:00,7331.4,7336.79,7311.06,7318.45
2026-06-10 12:30:00,7318.47,7334.57,7306.89,7315.74
2026-06-10 13:00:00,7315.69,7325.18,7299.16,7308.08
2026-06-10 13:30:00,7308.25,7319.6,7291.23,7318.41
2026-06-10 14:00:00,7318.36,7329.16,7305.84,7307.74
2026-06-10 14:30:00,7307.73,7307.73,7282.14,7286.48
2026-06-10 15:00:00,7286.69,7292.61,7267.35,7272.85
2026-06-10 15:30:00,7272.21,7290.0,7265.93,7267.65
2026-06-10 16:00:00,7266.61,7267.71,7266.61,7266.99
2026-06-10 16:30:00,7266.99,7266.99,7266.99,7266.99
2026-06-11 09:30:00,7287.67,7327.9,7276.92,7309.01
2026-06-11 10:00:00,7309.78,7327.84,7281.55,7300.94
2026-06-11 10:30:00,7300.77,7312.7,7263.78,7268.94
2026-06-11 11:00:00,7268.81,7299.08,7257.33,7286.12
2026-06-11 11:30:00,7285.07,7305.31,7279.87,7293.54
2026-06-11 12:00:00,7293.36,7314.28,7288.85,7291.37
2026-06-11 12:30:00,7291.56,7310.97,7277.23,7277.37
2026-06-11 13:00:00,7277.32,7337.15,7265.01,7337.15
2026-06-11 13:30:00,7336.96,7377.88,7335.71,7362.4
2026-06-11 14:00:00,7362.36,7370.06,7338.36,7356.84
2026-06-11 14:30:00,7357.1,7374.82,7353.49,7370.09
2026-06-11 15:00:00,7370.21,7395.14,7366.7,7392.01
2026-06-11 15:30:00,7392.07,7412.68,7386.93,7393.06
2026-06-11 16:00:00,7391.85,7394.3,7391.85,7394.3
2026-06-11 16:30:00,7394.3,7394.3,7394.3,7394.3
2026-06-12 09:30:00,7410.85,7417.38,7363.01,7379.22
2026-06-12 10:00:00,7379.75,7422.67,7377.85,7408.57
2026-06-12 10:30:00,7408.44,7437.15,7384.45,7436.26
2026-06-12 11:00:00,7436.02,7456.4,7429.3,7452.96
2026-06-12 11:30:00,7453.16,7453.47,7396.68,7401.25
2026-06-12 12:00:00,7401.26,7434.01,7394.6,7418.99
2026-06-12 12:30:00,7418.92,7428.39,7416.04,7427.55
2026-06-12 13:00:00,7427.73,7441.33,7425.41,7434.0
2026-06-12 13:30:00,7433.68,7434.53,7421.79,7425.49
2026-06-12 14:00:00,7425.48,7431.84,7416.95,7424.66
2026-06-12 14:30:00,7424.59,7435.17,7422.38,7422.69
2026-06-12 15:00:00,7422.63,7434.23,7422.06,7426.79
2026-06-12 15:30:00,7426.7,7432.14,7413.14,7430.86
2026-06-12 16:00:00,7430.6,7431.47,7430.6,7431.46
2026-06-12 16:30:00,7431.46,7431.46,7431.46,7431.46
2026-06-15 09:30:00,7516.75,7552.67,7516.75,7543.45
2026-06-15 10:00:00,7544.2,7551.0,7535.86,7548.06
2026-06-15 10:30:00,7548.03,7554.99,7540.87,7552.89
2026-06-15 11:00:00,7553.17,7563.75,7552.99,7562.71
2026-06-15 11:30:00,7562.72,7574.19,7559.78,7572.72
2026-06-15 12:00:00,7572.79,7577.92,7570.5,7575.86
2026-06-15 12:30:00,7575.9,7577.34,7566.85,7570.08
2026-06-15 13:00:00,7570.1,7574.64,7564.47,7572.53
2026-06-15 13:30:00,7572.64,7574.23,7562.3,7563.31
2026-06-15 14:00:00,7563.33,7564.58,7558.19,7558.54
2026-06-15 14:30:00,7558.54,7565.95,7556.1,7560.93
2026-06-15 15:00:00,7561.08,7563.57,7554.54,7554.8
2026-06-15 15:30:00,7554.56,7560.08,7545.56,7555.26
2026-06-15 16:00:00,7556.03,7556.03,7554.29,7554.29
2026-06-15 16:30:00,7554.29,7554.29,7554.29,7554.29
2026-06-16 09:30:00,7548.78,7564.96,7548.78,7550.56
2026-06-16 10:00:00,7550.99,7563.0,7541.66,7541.81
2026-06-16 10:30:00,7541.7,7550.92,7533.03,7539.49
2026-06-16 11:00:00,7540.27,7547.75,7533.33,7536.66
2026-06-16 11:30:00,7536.51,7544.63,7527.4,7537.98
2026-06-16 12:00:00,7537.95,7549.63,7537.39,7544.07
2026-06-16 12:30:00,7543.98,7544.49,7533.44,7537.44
2026-06-16 13:00:00,7537.51,7537.96,7529.19,7532.48
2026-06-16 13:30:00,7532.48,7536.77,7525.28,7531.54
2026-06-16 14:00:00,7531.43,7533.71,7527.72,7531.81
2026-06-16 14:30:00,7531.81,7532.67,7526.47,7527.8
2026-06-16 15:00:00,7527.89,7529.01,7511.63,7522.17
2026-06-16 15:30:00,7522.25,7523.56,7508.68,7512.99
2026-06-16 16:00:00,7512.53,7512.53,7511.35,7511.35
2026-06-16 16:30:00,7511.35,7511.35,7511.35,7511.35
2026-06-17 09:30:00,7524.5,7529.18,7509.68,7509.68
2026-06-17 10:00:00,7509.63,7532.17,7507.33,7527.8
2026-06-17 10:30:00,7527.78,7528.52,7489.94,7501.51
2026-06-17 11:00:00,7501.61,7512.74,7497.1,7510.64
2026-06-17 11:30:00,7510.74,7519.24,7508.81,7517.35
2026-06-17 12:00:00,7517.09,7521.03,7514.1,7518.97
2026-06-17 12:30:00,7518.7,7519.74,7510.05,7510.79
2026-06-17 13:00:00,7510.9,7510.99,7497.68,7507.22
2026-06-17 13:30:00,7507.17,7517.49,7501.97,7517.49
2026-06-17 14:00:00,7518.44,7518.85,7445.53,7473.42
2026-06-17 14:30:00,7473.13,7513.38,7462.76,7471.74
2026-06-17 15:00:00,7470.96,7481.59,7429.2,7431.97
2026-06-17 15:30:00,7431.67,7433.41,7402.61,7421.76
2026-06-17 16:00:00,7420.1,7420.19,7420.08,7420.1
2026-06-17 16:30:00,7420.1,7420.1,7420.1,7420.1
2026-06-18 09:30:00,7487.36,7509.44,7468.32,7476.65
2026-06-18 10:00:00,7476.46,7497.72,7472.74,7482.17
2026-06-18 10:30:00,7482.09,7502.74,7473.75,7498.11
2026-06-18 11:00:00,7498.19,7500.23,7481.64,7482.77
2026-06-18 11:30:00,7483.25,7495.27,7473.17,7492.48
2026-06-18 12:00:00,7492.75,7498.21,7488.1,7496.19
2026-06-18 12:30:00,7496.45,7502.01,7492.23,7496.12
2026-06-18 13:00:00,7496.26,7511.07,7494.2,7505.53
2026-06-18 13:30:00,7505.48,7509.4,7499.73,7500.36
2026-06-18 14:00:00,7500.37,7501.0,7494.06,7494.93
2026-06-18 14:30:00,7494.95,7499.18,7491.52,7493.74
2026-06-18 15:00:00,7493.86,7494.3,7482.39,7489.88
2026-06-18 15:30:00,7489.81,7510.17,7485.7,7497.86
2026-06-18 16:00:00,7498.02,7500.68,7498.02,7500.58
2026-06-18 16:30:00,7500.58,7500.58,7500.58,7500.58
2026-06-22 09:30:00,7500.44,7528.19,7498.88,7528.13
2026-06-22 10:00:00,7529.1,7530.01,7494.93,7495.25
2026-06-22 10:30:00,7495.07,7495.2,7461.04,7475.83
2026-06-22 11:00:00,7475.73,7482.58,7467.97,7472.26
2026-06-22 11:30:00,7472.59,7491.32,7471.84,7474.47
2026-06-22 12:00:00,7474.62,7482.2,7464.74,7476.54
2026-06-22 12:30:00,7476.54,7481.28,7469.51,7478.09
2026-06-22 13:00:00,7478.18,7481.18,7468.83,7475.81
2026-06-22 13:30:00,7475.81,7482.3,7468.38,7475.77
2026-06-22 14:00:00,7475.7,7485.81,7471.91,7479.85
2026-06-22 14:30:00,7479.78,7483.76,7465.13,7465.85
2026-06-22 15:00:00,7465.92,7472.13,7461.69,7462.87
2026-06-22 15:30:00,7462.77,7476.34,7460.01,7475.46
2026-06-22 16:00:00,7473.0,7473.44,7472.79,7472.79
2026-06-22 16:30:00,7472.79,7472.79,7472.79,7472.79
2026-06-23 09:30:00,7366.51,7399.45,7347.6,7399.45
2026-06-23 10:00:00,7399.22,7424.17,7398.15,7417.41
2026-06-23 10:30:00,7417.14,7418.56,7393.79,7397.47
2026-06-23 11:00:00,7398.02,7402.05,7370.61,7373.18
2026-06-23 11:30:00,7373.31,7390.21,7370.5,7387.8
2026-06-23 12:00:00,7387.81,7404.86,7387.09,7402.1
2026-06-23 12:30:00,7401.7,7407.56,7397.61,7402.33
2026-06-23 13:00:00,7402.31,7408.6,7393.37,7403.65
2026-06-23 13:30:00,7403.46,7408.35,7385.9,7386.36
2026-06-23 14:00:00,7386.17,7393.69,7380.72,7382.2
2026-06-23 14:30:00,7382.29,7382.96,7361.22,7368.39
2026-06-23 15:00:00,7368.42,7384.14,7365.39,7378.27
2026-06-23 15:30:00,7378.15,7382.84,7365.67,7365.92
2026-06-23 16:00:00,7364.37,7365.69,7364.37,7365.46
2026-06-24 09:30:00,7370.88,7405.05,7370.45,7387.85
2026-06-24 10:00:00,7388.06,7397.46,7369.0,7393.15
2026-06-24 10:30:00,7393.55,7425.09,7390.53,7424.92
2026-06-24 11:00:00,7424.92,7427.4,7408.84,7424.61
2026-06-24 11:30:00,7424.66,7428.06,7407.56,7412.15
2026-06-24 12:00:00,7411.98,7416.57,7407.02,7409.55
2026-06-24 12:30:00,7409.48,7409.56,7383.79,7385.19
2026-06-24 13:00:00,7385.16,7392.77,7349.53,7350.28
2026-06-24 13:30:00,7350.13,7358.97,7341.71,7346.89
2026-06-24 14:00:00,7346.93,7374.24,7346.24,7371.24
2026-06-24 14:30:00,7371.47,7373.56,7340.84,7347.04
2026-06-24 15:00:00,7347.19,7356.59,7336.82,7348.06
2026-06-24 15:30:00,7348.2,7359.9,7337.69,7359.9
2026-06-24 16:00:00,7358.48,7358.72,7358.22,7358.22
2026-06-24 16:30:00,7358.22,7358.22,7358.22,7358.22
2026-06-25 09:30:00,7404.91,7419.08,7323.5,7325.84
2026-06-25 10:00:00,7325.62,7392.63,7325.62,7382.93
2026-06-25 10:30:00,7382.78,7406.17,7375.69,7379.92
2026-06-25 11:00:00,7380.17,7392.6,7346.78,7369.73
2026-06-25 11:30:00,7370.35,7385.74,7367.58,7369.29
2026-06-25 12:00:00,7369.12,7389.96,7365.36,7370.2
2026-06-25 12:30:00,7370.01,7370.35,7343.28,7353.31
2026-06-25 13:00:00,7353.62,7369.81,7350.02,7360.66
2026-06-25 13:30:00,7360.76,7365.06,7344.69,7363.0
2026-06-25 14:00:00,7362.8,7388.26,7342.91,7386.58
2026-06-25 14:30:00,7386.77,7386.77,7355.74,7366.14
2026-06-25 15:00:00,7366.72,7366.72,7346.86,7352.54
2026-06-25 15:30:00,7352.37,7357.17,7341.69,7357.17
2026-06-25 16:00:00,7359.93,7359.93,7357.49,7357.49
2026-06-25 16:30:00,7357.49,7357.49,7357.49,7357.49
