timestamp,open,high,low,close,volume
2026-06-11 00:00:00,28741.25,28803.0,28704.75,28776.5,6246
2026-06-11 01:00:00,28776.5,28782.0,28712.0,28746.5,6178
2026-06-11 02:00:00,28746.0,28797.5,28685.5,28792.0,8901
2026-06-11 03:00:00,28791.75,28868.5,28764.0,28844.25,8639
2026-06-11 04:00:00,28845.0,28936.0,28839.25,28910.75,9068
2026-06-11 05:00:00,28909.0,28922.0,28858.0,28878.25,5825
2026-06-11 06:00:00,28877.5,28917.0,28873.5,28877.75,4783
2026-06-11 07:00:00,28878.0,28909.25,28812.5,28901.0,9395
2026-06-11 08:00:00,28900.25,28915.0,28637.5,28812.5,29191
2026-06-11 09:00:00,28814.5,29016.75,28650.75,28900.5,80439
2026-06-11 10:00:00,28899.5,29049.5,28607.5,28648.25,87215
2026-06-11 11:00:00,28649.5,28907.25,28577.5,28858.0,66819
2026-06-11 12:00:00,28858.5,28975.25,28763.25,28770.0,50328
2026-06-11 13:00:00,28771.5,29302.25,28678.5,29214.0,85891
2026-06-11 14:00:00,29213.5,29312.25,29068.5,29268.75,55865
2026-06-11 15:00:00,29269.0,29544.25,29229.5,29456.75,81208
2026-06-11 16:00:00,29457.75,29522.0,29408.0,29433.25,18891
2026-06-11 18:00:00,29456.75,29586.5,29443.0,29557.75,6715
2026-06-11 19:00:00,29560.0,29597.5,29480.25,29577.25,4406
2026-06-11 20:00:00,29576.25,29645.5,29536.0,29588.25,7004
2026-06-11 21:00:00,29589.0,29589.5,29464.75,29553.0,6773
2026-06-11 22:00:00,29553.0,29587.0,29503.0,29562.5,4309
2026-06-11 23:00:00,29562.0,29562.0,29488.75,29528.5,3150
2026-06-12 00:00:00,29531.25,29549.0,29488.0,29543.75,2466
2026-06-12 01:00:00,29546.25,29554.75,29375.0,29401.0,5697
2026-06-12 02:00:00,29401.75,29474.75,29335.0,29361.0,5612
2026-06-12 03:00:00,29361.75,29458.5,29260.0,29430.5,7765
2026-06-12 04:00:00,29434.5,29575.0,29416.25,29478.25,8179
2026-06-12 05:00:00,29481.25,29675.0,29477.25,29623.25,7287
2026-06-12 06:00:00,29623.5,29657.5,29517.75,29551.0,5916
2026-06-12 07:00:00,29553.0,29660.0,29549.0,29638.25,5135
2026-06-12 08:00:00,29637.0,29646.0,29383.25,29413.25,12889
2026-06-12 09:00:00,29412.25,29502.0,29230.0,29349.5,60932
2026-06-12 10:00:00,29354.0,29644.0,29339.0,29631.0,68285
2026-06-12 11:00:00,29634.0,29760.0,29410.0,29439.75,53152
2026-06-12 12:00:00,29440.25,29678.75,29409.0,29673.0,35490
2026-06-12 13:00:00,29674.0,29752.25,29647.75,29682.5,25112
2026-06-12 14:00:00,29684.0,29719.0,29608.5,29645.0,25532
2026-06-12 15:00:00,29643.0,29711.0,29580.5,29648.75,37969
