timestamp,open,high,low,close,volume
2026-05-24 18:00:00,29676.25,29825.5,29676.25,29808.5,12544
2026-05-24 19:00:00,29807.5,29883.0,29805.25,29842.5,7697
2026-05-24 20:00:00,29842.25,29935.75,29826.25,29914.75,9121
2026-05-24 21:00:00,29915.25,29949.0,29906.0,29924.75,5675
2026-05-24 22:00:00,29925.75,29960.75,29903.0,29957.0,5186
2026-05-24 23:00:00,29958.0,29988.0,29955.5,29962.5,6777
2026-05-25 00:00:00,29962.25,29987.5,29961.0,29974.5,2511
2026-05-25 01:00:00,29974.0,29995.0,29968.25,29969.25,3215
2026-05-25 02:00:00,29968.25,29985.0,29950.0,29967.5,4171
2026-05-25 03:00:00,29968.25,29987.75,29889.5,29972.25,8769
2026-05-25 04:00:00,29971.75,29974.5,29927.0,29962.75,3565
2026-05-25 05:00:00,29963.25,29976.75,29954.25,29956.25,2037
2026-05-25 06:00:00,29955.75,29974.75,29947.0,29973.0,1855
2026-05-25 07:00:00,29971.75,29989.25,29965.5,29972.25,2621
2026-05-25 08:00:00,29972.25,29990.0,29936.75,29941.5,5181
2026-05-25 09:00:00,29941.25,29993.75,29937.75,29993.5,9408
2026-05-25 10:00:00,29992.75,29993.75,29910.0,29929.0,13978
2026-05-25 11:00:00,29928.75,29990.75,29915.5,29922.5,14718
2026-05-25 12:00:00,29923.0,29966.75,29913.0,29962.5,6131
2026-05-25 18:00:00,29962.0,29977.0,29881.25,29891.0,9548
2026-05-25 19:00:00,29889.0,29901.0,29834.25,29879.25,7711
2026-05-25 20:00:00,29879.5,29880.5,29800.5,29821.5,10017
2026-05-25 21:00:00,29820.75,29836.0,29770.25,29811.75,9116
2026-05-25 22:00:00,29814.5,29829.0,29797.0,29817.75,3933
2026-05-25 23:00:00,29818.25,29828.5,29802.25,29819.5,3146
2026-05-26 00:00:00,29821.0,29829.0,29793.0,29800.5,2902
2026-05-26 01:00:00,29800.0,29816.5,29782.5,29806.0,2865
2026-05-26 02:00:00,29807.0,29845.25,29798.75,29826.25,5221
2026-05-26 03:00:00,29825.25,29830.0,29744.0,29773.0,8089
2026-05-26 04:00:00,29774.5,29811.0,29758.0,29808.75,4409
2026-05-26 05:00:00,29809.0,29850.5,29805.0,29847.0,4433
2026-05-26 06:00:00,29848.25,29915.0,29844.0,29854.25,7697
2026-05-26 07:00:00,29855.75,29874.25,29818.0,29865.75,7919
2026-05-26 08:00:00,29864.0,29930.5,29851.0,29920.5,10544
2026-05-26 09:00:00,29920.0,30007.0,29826.75,30006.75,88823
