timestamp,open,high,low,close
2026-06-10 09:00:00,7350.54,7382.39,7328.42,7370.49
2026-06-10 10:00:00,7370.84,7396.56,7334.76,7341.49
2026-06-10 11:00:00,7341.55,7355.99,7297.79,7331.41
2026-06-10 12:00:00,7331.4,7336.79,7306.89,7315.74
2026-06-10 13:00:00,7315.69,7325.18,7291.23,7318.41
2026-06-10 14:00:00,7318.36,7329.16,7282.14,7286.48
2026-06-10 15:00:00,7286.69,7292.61,7265.93,7267.65
2026-06-10 16:00:00,7266.61,7267.71,7266.61,7266.99
2026-06-11 09:00:00,7287.67,7327.9,7276.92,7309.01
2026-06-11 10:00:00,7309.78,7327.84,7263.78,7268.94
2026-06-11 11:00:00,7268.81,7305.31,7257.33,7293.54
2026-06-11 12:00:00,7293.36,7314.28,7277.23,7277.37
2026-06-11 13:00:00,7277.32,7377.88,7265.01,7362.4
2026-06-11 14:00:00,7362.36,7374.82,7338.36,7370.09
2026-06-11 15:00:00,7370.21,7412.68,7366.7,7393.06
2026-06-11 16:00:00,7391.85,7394.3,7391.85,7394.3
2026-06-12 09:00:00,7410.85,7417.38,7363.01,7379.22
2026-06-12 10:00:00,7379.75,7437.15,7377.85,7436.26
2026-06-12 11:00:00,7436.02,7456.4,7396.68,7401.25
2026-06-12 12:00:00,7401.26,7434.01,7394.6,7427.55
2026-06-12 13:00:00,7427.73,7441.33,7421.79,7425.49
2026-06-12 14:00:00,7425.48,7435.17,7416.95,7422.69
2026-06-12 15:00:00,7422.63,7434.23,7413.14,7430.86
2026-06-12 16:00:00,7430.6,7431.47,7430.6,7431.46
2026-06-15 09:00:00,7516.75,7552.67,7516.75,7543.45
2026-06-15 10:00:00,7544.2,7554.99,7535.86,7552.89
2026-06-15 11:00:00,7553.17,7574.19,7552.99,7572.72
2026-06-15 12:00:00,7572.79,7577.92,7566.85,7570.08
2026-06-15 13:00:00,7570.1,7574.64,7562.3,7563.31
2026-06-15 14:00:00,7563.33,7565.95,7556.1,7560.93
2026-06-15 15:00:00,7561.08,7563.57,7545.56,7555.26
2026-06-15 16:00:00,7556.03,7556.03,7554.29,7554.29
2026-06-16 09:00:00,7548.78,7564.96,7548.78,7550.56
2026-06-16 10:00:00,7550.99,7563.0,7533.03,7539.49
2026-06-16 11:00:00,7540.27,7547.75,7527.4,7537.98
2026-06-16 12:00:00,7537.95,7549.63,7533.44,7537.44
2026-06-16 13:00:00,7537.51,7537.96,7525.28,7531.54
2026-06-16 14:00:00,7531.43,7533.71,7526.47,7527.8
2026-06-16 15:00:00,7527.89,7529.01,7508.68,7512.99
2026-06-16 16:00:00,7512.53,7512.53,7511.35,7511.35
2026-06-17 09:00:00,7524.5,7529.18,7509.68,7509.68
2026-06-17 10:00:00,7509.63,7532.17,7489.94,7501.51
2026-06-17 11:00:00,7501.61,7519.24,7497.1,7517.35
2026-06-17 12:00:00,7517.09,7521.03,7510.05,7510.79
2026-06-17 13:00:00,7510.9,7517.49,7497.68,7517.49
2026-06-17 14:00:00,7518.44,7518.85,7445.53,7471.74
2026-06-17 15:00:00,7470.96,7481.59,7402.61,7421.76
2026-06-17 16:00:00,7420.1,7420.19,7420.08,7420.1
2026-06-18 09:00:00,7487.36,7509.44,7468.32,7476.65
2026-06-18 10:00:00,7476.46,7502.74,7472.74,7498.11
2026-06-18 11:00:00,7498.19,7500.23,7473.17,7492.48
2026-06-18 12:00:00,7492.75,7502.01,7488.1,7496.12
2026-06-18 13:00:00,7496.26,7511.07,7494.2,7500.36
2026-06-18 14:00:00,7500.37,7501.0,7491.52,7493.74
2026-06-18 15:00:00,7493.86,7510.17,7482.39,7497.86
2026-06-18 16:00:00,7498.02,7500.68,7498.02,7500.58
2026-06-22 09:00:00,7500.44,7528.19,7498.88,7528.13
2026-06-22 10:00:00,7529.1,7530.01,7461.04,7475.83
2026-06-22 11:00:00,7475.73,7491.32,7467.97,7474.47
2026-06-22 12:00:00,7474.62,7482.2,7464.74,7478.09
2026-06-22 13:00:00,7478.18,7482.3,7468.38,7475.77
2026-06-22 14:00:00,7475.7,7485.81,7465.13,7465.85
2026-06-22 15:00:00,7465.92,7476.34,7460.01,7475.46
2026-06-22 16:00:00,7473.0,7473.44,7472.79,7472.79
2026-06-23 09:00:00,7366.51,7399.45,7347.6,7399.45
2026-06-23 10:00:00,7399.22,7424.17,7393.79,7397.47
2026-06-23 11:00:00,7398.02,7402.05,7370.5,7387.8
2026-06-23 12:00:00,7387.81,7407.56,7387.09,7402.33
2026-06-23 13:00:00,7402.31,7408.6,7385.9,7386.36
2026-06-23 14:00:00,7386.17,7393.69,7361.22,7368.39
2026-06-23 15:00:00,7368.42,7384.14,7365.39,7365.92
2026-06-23 16:00:00,7364.37,7365.69,7364.37,7365.46
2026-06-24 09:00:00,7370.88,7405.05,7370.45,7387.85
2026-06-24 10:00:00,7388.06,7425.09,7369.0,7424.92
2026-06-24 11:00:00,7424.92,7428.06,7407.56,7412.15
2026-06-24 12:00:00,7411.98,7416.57,7383.79,7385.19
2026-06-24 13:00:00,7385.16,7392.77,7341.71,7346.89
2026-06-24 14:00:00,7346.93,7374.24,7340.84,7347.04
2026-06-24 15:00:00,7347.19,7359.9,7336.82,7359.9
2026-06-24 16:00:00,7358.48,7358.72,7358.22,7358.22
2026-06-25 09:00:00,7404.91,7419.08,7323.5,7325.84
2026-06-25 10:00:00,7325.62,7406.17,7325.62,7379.92
2026-06-25 11:00:00,7380.17,7392.6,7346.78,7369.29
2026-06-25 12:00:00,7369.12,7389.96,7343.28,7353.31
2026-06-25 13:00:00,7353.62,7369.81,7344.69,7363.0
2026-06-25 14:00:00,7362.8,7388.26,7342.91,7366.14
2026-06-25 15:00:00,7366.72,7366.72,7341.69,7357.17
2026-06-25 16:00:00,7359.93,7359.93,7357.49,7357.49
